Email,Employment ID,First Name,Last Name,Employment Details Hire Date,Work Region,Designation,Pay Grade,Competency,Onsite/ Offshore,Allocation Status,Skills
sheila20@example.org,60055,Lisa,Hughes,2022-03-01,CORPORATE,Consultant I,10-Grade 9,HCM,Onsite,On Project - Partial,"ORC,Talent"
davisandres@example.com,71364,Richard,Davis,2023-08-28,NA,Associate Consultant,04-Grade 4,ERP Finance,Offshore,Bench,SQL
sara01@example.net,68158,Jerome,Davila,2020-11-05,AMEA - KSA,Manager II - Projects,T2-Programmer Trainee,PRGM,Onsite,On Project - Fulltime,PM
anthony21@example.com,37471,Crystal,Medina,2022-04-29,NA,Consultant I,10-Grade 9,ERP Finance,Onsite,On Project - Partial,"Core HR,ORC,Absence"
pricealexandria@example.com,39965,Caroline,Bell,2022-11-08,NA,Manager I - Delivery,07-Grade 7,SCM,Onsite,On Project - Fulltime,PM
bradley93@example.com,23643,Adam,Richardson,2024-08-08,UK/EUROPE - UK,Consultant I,10-Grade 9,AD,Offshore,On Project - Fulltime,"Core HR,ORC,Absence"
sboyd@example.com,59070,Megan,Hood,2021-01-19,UK/EUROPE - UK,Consultant II,09-Grade 9,AD,Onsite,On Project - Partial,"ORC,Talent"
josephjohnson@example.com,13100,John,Benitez,2020-12-07,AMEA - KSA,Consultant I,09-Grade 9,SCM,Onsite,On Project - Partial,"ORC,Talent"
gailhernandez@example.net,33078,Kenneth,Rosales,2020-02-10,CORPORATE,Manager I - Delivery,10-Grade 9,ERP Finance,Offshore,On Project - Partial,SQL
ubates@example.net,90969,Jodi,Lee,2020-10-21,UK/EUROPE - UK,Manager II - Projects,10-Grade 9,ERP Finance,Onsite,On Project - Partial,"ORC,Talent"
whitesean@example.org,36597,Sabrina,Anderson,2024-02-22,NA,Consultant I,09-Grade 9,PRGM,Onsite,On Project - Fulltime,"ORC,Talent"
vincentmartin@example.org,77105,David,Cole,2024-05-05,UK/EUROPE - UK,Consultant I,09-Grade 9,PRGM,Onsite,On Project - Fulltime,"Core HR,Talent"
martinezjoseph@example.org,88246,Stephen,Merritt,2021-12-24,AMEA - KSA,Consultant II,10-Grade 9,PRGM,Offshore,On Project - Fulltime,"Core HR,ORC,Absence"
colinhenry@example.com,69590,Courtney,Collins,2020-04-30,CORPORATE,Manager II - Projects,T2-Programmer Trainee,SCM,Onsite,Bench,"AP,AR"
umcintyre@example.net,64509,Gary,Chapman,2022-04-16,NA,Manager I - Delivery,10-Grade 9,HCM,Onsite,On Project - Fulltime,"Core HR,ORC,Absence"
adam64@example.net,34375,Cory,Aguilar,2022-04-29,UK/EUROPE - UK,Sr. Consultant II,05-Grade 5,HCM,Onsite,On Project - Fulltime,PM
johngray@example.com,51954,Ashlee,Ferguson,2023-06-08,NA,Sr. Consultant II,10-Grade 9,HCM,Onsite,Freshers Training,"Core HR,ORC,Absence"
jenniferrichards@example.org,50608,Andrew,Lopez,2020-05-02,NA,Sr. Consultant II,04-Grade 4,SCM,Onsite,On Project - Partial,"Core HR,Talent"
cassandrathompson@example.net,47743,Megan,Cline,2024-09-09,AMEA - KSA,Sr. Consultant II,07-Grade 7,SCM,Onsite,On Project - Fulltime,"Core HR,ORC,Absence"
hornrebecca@example.org,55148,Sarah,Cook,2022-04-05,CORPORATE,Consultant II,09-Grade 9,PRGM,Offshore,On Project - Partial,"Core HR,ORC,Absence"
robertsonchristine@example.org,13295,Patricia,Odom,2023-06-18,AMEA - KSA,Manager II - Projects,T2-Programmer Trainee,PRGM,Onsite,Freshers Training,"AP,AR"
angelareed@example.com,31321,Michael,Williams,2020-06-01,CORPORATE,Consultant II,04-Grade 4,HCM,Onsite,Bench,PM
eugene01@example.com,29598,Frank,Wilson,2024-11-06,UK/EUROPE - UK,Consultant I,T2-Programmer Trainee,ERP Finance,Onsite,Bench,"Core HR,Talent"
vanessagarcia@example.com,39072,Glenn,Davenport,2021-04-11,NA,Manager I - Delivery,10-Grade 9,PRGM,Onsite,Freshers Training,"Core HR,ORC,Absence"
afields@example.org,71878,Michael,Lyons,2023-02-05,AMEA - KSA,Consultant I,10-Grade 9,HCM,Offshore,On Project - Partial,"Core HR,ORC,Absence"
othomas@example.com,94672,Martin,Fisher,2024-01-28,NA,Manager I - Delivery,T2-Programmer Trainee,AD,Offshore,On Project - Fulltime,PM
